Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VSTOXX,EURIBOR3M,Daily_STIR,Theoretical_Spread
2023-08-23,4266.67,0.009228468499815515,0.14649739579503107,0.184996,0.0383499999999999,0.00015218253968253927,0.9895291238040045
2023-08-24,4232.22,0.00856498019225054,0.1359648454373347,0.189039,0.0382999999999999,0.00015198412698412658,0.9109709514541464
2023-08-25,4236.25,0.008988720539797955,0.14269151491778193,0.184734,0.0383499999999999,0.00015218253968253927,0.9569502620802268
2023-08-28,4293.69,0.008379163528201934,0.13301509734218922,0.178175,0.0385999999999999,0.00015317460317460277,0.9041516895626955
2023-08-29,4326.47,0.00974608045340232,0.154714230823981,0.167835,0.0384999999999999,0.0001527777777777774,1.0596771202656328
2023-08-30,4315.31,0.00945787883682571,0.15013917199453003,0.165618,0.0386499999999999,0.00015337301587301546,1.0256888376006827
2023-08-31,4297.11,0.008861470597751206,0.14067148471176344,0.160638,0.0381,0.0001511904761904762,0.956956468426597
2023-09-01,4282.64,0.008580763313312935,0.13621539471679583,0.159449,0.03805,0.0001509920634920635,0.9235223680411764
2023-09-04,4279.87,0.008284835264190446,0.13151768257311616,0.166633,0.0381499999999999,0.0001513888888888885,0.8910958123246928
2023-09-05,4269.16,0.007880442591027879,0.1250981479018875,0.163544,0.0381499999999999,0.0001513888888888885,0.8454793789530868
2023-09-06,4238.26,0.007699210307483701,0.12222117459112208,0.168029,0.0383499999999999,0.00015218253968253927,0.8200564991163901
2023-09-07,4221.02,0.008251448738473083,0.13098768790798454,0.169887,0.0383499999999999,0.00015218253968253927,0.8753012898173438
2023-09-08,4237.19,0.008125588119275478,0.12898971251846375,0.161885,0.0384,0.00015238095238095237,0.8652521866849838
2023-09-11,4254.33,0.00785592563696846,0.12470895332181141,0.162321,0.0384999999999999,0.0001527777777777774,0.8399211615644617
2023-09-12,4242.27,0.0076790453811122405,0.1219010663088132,0.165155,0.0387,0.00015357142857142856,0.8186825685684198
2023-09-13,4223.48,0.007585814519743219,0.12042107226662058,0.165042,0.03905,0.00015496031746031747,0.8051609041651773
2023-09-14,4279.75,0.0077056887388399515,0.12232401650064872,0.147497,0.0395499999999999,0.00015694444444444404,0.8287811718519151
2023-09-15,4295.05,0.009286124653094726,0.14741265885380753,0.147262,0.03935,0.00015615079365079366,1.0023343905345428
2023-09-18,4245.88,0.008692709040829671,0.13799247804886874,0.161549,0.03903,0.0001548809523809524,0.9275403022629689
2023-09-19,4242.7,0.00983741548941965,0.1561641295717149,0.163475,0.04025,0.00015972222222222223,1.0488979014346569
2023-09-20,4275.98,0.009047498978948276,0.14362459371244768,0.154074,0.04015,0.00015932539682539683,0.9722414385084903
2023-09-21,4212.59,0.00899097917880865,0.14272736970052455,0.171196,0.0401,0.0001591269841269841,0.9518447236555403
2023-09-22,4207.16,0.010937810289495536,0.1736323554816515,0.1696069999999999,0.0401,0.0001591269841269841,1.1564563558245027
2023-09-25,4167.37,0.009912075506533898,0.15734932060069967,0.190808,0.04,0.00015873015873015873,1.0380936518643011
2023-09-26,4129.18,0.010177031430642438,0.16155536550220667,0.197747,0.0401,0.0001591269841269841,1.0560750743768494
2023-09-27,4131.68,0.010300302955029057,0.16351224028578362,0.1951139999999999,0.0400499999999999,0.000158928571428571,1.0695141440351108
2023-09-28,4161.56,0.00937657340416076,0.1488484882641102,0.188228,0.0401,0.0001591269841269841,0.9806413875933231
2023-09-29,4174.66,0.009134906214152324,0.14501214055527353,0.174704,0.03995,0.00015853174603174604,0.958374204896927
2023-10-02,4137.63,0.00855423036747853,0.13579419725942912,0.189158,0.03995,0.00015853174603174604,0.8894930177066271
2023-10-03,4095.59,0.009146101918758323,0.1451898668561112,0.201991,0.0398999999999999,0.00015833333333333294,0.9413744822599028
2023-10-04,4099.85,0.00981699109603245,0.1558399023782236,0.202158,0.0398999999999999,0.00015833333333333294,1.0114775336653565
2023-10-05,4099.81,0.009006735054042873,0.14297748646587202,0.1965599999999999,0.03985,0.00015813492063492063,0.9279851722336616
2023-10-06,4144.43,0.008399793939593265,0.1333425949701077,0.186464,0.03995,0.00015853174603174604,0.8748697526443721
2023-10-09,4112.57,0.00912200772410242,0.14480738337351182,0.202398,0.0398999999999999,0.00015833333333333294,0.9427871432035317
2023-10-10,4205.23,0.009291822638829403,0.14750311157317522,0.186124,0.03995,0.00015853174603174604,0.9819753112005856
2023-10-11,4200.8,0.012904719299593284,0.20485606803491677,0.177664,0.0398999999999999,0.00015833333333333294,1.3623551704986312
2023-10-12,4198.23,0.011440816721292902,0.18161733504006233,0.1716339999999999,0.03995,0.00015853174603174604,1.2070717084536682
2023-10-13,4136.12,0.010279069345376706,0.16317516718232558,0.201795,0.0398999999999999,0.00015833333333333294,1.0684563441777755
2023-10-16,4149.86,0.011696895323874159,0.18568245683115203,0.199156,0.04,0.00015873015873015873,1.2198708582504878
2023-10-17,4152.32,0.0105216169855272,0.16702549160386834,0.198746,0.0401999999999999,0.00015952380952380914,1.0979514878729333
2023-10-18,4105.86,0.009547082182193177,0.15155523120227396,0.216373,0.0401999999999999,0.00015952380952380914,0.9851099143465945
2023-10-19,4090.33,0.010315423413784792,0.16375227012724494,0.223032,0.0401999999999999,0.00015952380952380914,1.060364703520122
2023-10-20,4024.68,0.009607819579696827,0.15251940749672954,0.233334,0.0400499999999999,0.000158928571428571,0.9717758058144454
2023-10-23,4041.75,0.011653350129046839,0.18499119829332236,0.219351,0.0401,0.0001591269841269841,1.183668394138408
2023-10-24,4065.37,0.010539893082852447,0.16731561565462483,0.2098799999999999,0.04,0.00015873015873015873,1.0768274789015777
2023-10-25,4073.35,0.00982351831401635,0.15594351875145465,0.205753,0.0398999999999999,0.00015833333333333294,1.0056078693008885
2023-10-26,4049.4,0.009026412037069834,0.1432898488877203,0.215031,0.0396999999999999,0.00015753968253968216,0.9185773851264685
2023-10-27,4014.36,0.00892183391952828,0.1416297227381549,0.207887,0.03965,0.00015734126984126982,0.9000784696585242
2023-10-30,4028.32,0.009343926706650229,0.1483302380076677,0.20949,0.0395999999999999,0.00015714285714285675,0.9459393308727613
2023-10-31,4061.12,0.00872986750129888,0.13858235032189004,0.197076,0.0395999999999999,0.00015714285714285675,0.8909706714666754
2023-11-01,4091.71,0.008816745208036917,0.13996149116091672,0.186508,0.0395499999999999,0.00015694444444444404,0.9066153411021105
2023-11-02,4169.62,0.008780733067558388,0.13938981615360488,0.177337,0.0395999999999999,0.00015714285714285675,0.9201045589015848
2023-11-03,4174.67,0.011532622711062299,0.1830747099468381,0.168411,0.0395999999999999,0.00015714285714285675,1.2099294447139073
2023-11-06,4158.64,0.010333655230200398,0.164041691240353,0.168258,0.0395999999999999,0.00015714285714285675,1.079978589937582
2023-11-07,4153.37,0.009627033806385242,0.15282442388944134,0.166816,0.0395999999999999,0.00015714285714285675,1.0048540829700414
2023-11-08,4178.49,0.008908543892528337,0.1414187500999998,0.1604769999999999,0.0396999999999999,0.00015753968253968216,0.9354832477026775
2023-11-09,4229.2,0.008643507611984765,0.13721142957963275,0.157657,0.0397499999999999,0.00015773809523809485,0.9186671424772612
2023-11-10,4197.36,0.009560334578068718,0.1517656064648487,0.160383,0.03985,0.00015813492063492063,1.0084612128148365
2023-11-13,4232.19,0.009567203213217525,0.1518746426675498,0.158653,0.0398999999999999,0.00015833333333333294,1.017560040331773
2023-11-14,4291.72,0.009429584907095227,0.14969001978445243,0.150266,0.0397499999999999,0.00015773809523809485,1.017030201116313
2023-11-15,4315.53,0.01051987836814374,0.16699789190853795,0.148085,0.03985,0.00015813492063492063,1.1409187158371878
2023-11-16,4302.45,0.009779034375696449,0.15523735812266748,0.146829,0.0398,0.00015793650793650795,1.0573570905710312
2023-11-17,4340.77,0.009137856313236914,0.14505897192639847,0.138479,0.0398,0.00015793650793650795,0.9968297949817497
2023-11-20,4342.41,0.009228971652617197,0.14650538309813935,0.140106,0.0398,0.00015793650793650795,1.0071497371045552
2023-11-21,4331.9,0.00856159155084198,0.13591105242263815,0.14065,0.0398,0.00015793650793650795,0.932057863705495
2023-11-22,4352.02,0.008186002247784622,0.1299487570767231,0.134844,0.0397499999999999,0.00015773809523809485,0.8953085186708449
2023-11-23,4361.32,0.007970126346585593,0.1265218333849756,0.136417,0.0398,0.00015793650793650795,0.8735608300194144
2023-11-24,4372.1,0.007647162472762406,0.12139494082941045,0.133953,0.0396999999999999,0.00015753968253968216,0.8402343366733476
2023-11-27,4354.41,0.007426411781217263,0.11789063223996657,0.140274,0.03965,0.00015734126984126982,0.8126777841325747
2023-11-28,4348.02,0.007545116125713838,0.11977500529045183,0.141716,0.03965,0.00015734126984126982,0.8244560169814577
2023-11-29,4370.53,0.007383009932819839,0.11720164925616591,0.141975,0.0395499999999999,0.00015694444444444404,0.8109192387569237
2023-11-30,4382.47,0.0074595163035577,0.11841615024027284,0.13815,0.0395,0.00015674603174603175,0.8215606997923715
2023-12-01,4418.51,0.007304516823774415,0.11595560977916711,0.135043,0.0393,0.00015595238095238097,0.8111055739748281
2023-12-04,4414.95,0.007872388909156,0.12497029966565898,0.141209,0.0394499999999999,0.00015654761904761866,0.8734586038897305
2023-12-05,4452.77,0.007585016421514803,0.12040840285001544,0.139983,0.0394499999999999,0.00015654761904761866,0.8487832720213646
