Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Theoretical_Spread
2021-12-02,14973.95,0.011729075006044542,0.18619329344890362,0.180875,0.0397,0.00015753968253968254,4.413772530161623
2021-12-03,14856.3,0.011697457376818163,0.18569137914503295,0.18455,0.0397,0.00015753968253968254,4.367289065201021
2021-12-06,14618.35,0.011419413028971833,0.18127756195794179,0.200775,0.0397,0.00015753968253968254,4.195193057733832
2021-12-07,14834.5,0.012094236367236803,0.19199005034965094,0.1846,0.0397,0.00015753968253968254,4.508801961982499
2021-12-08,15073.25,0.012225185363224735,0.19406880121655692,0.17265,0.0396,0.00015714285714285716,4.6309719102387135
2021-12-09,15126.6,0.012487742238077191,0.19823676239177637,0.166025,0.0397,0.00015753968253968254,4.747172730154489
2021-12-10,15155.0,0.011829293809723192,0.1877842176362603,0.1606,0.0397,0.00015753968253968254,4.505308783394412
2021-12-13,15064.25,0.011192934491669542,0.1776823266359686,0.1657,0.0397,0.00015753968253968254,4.237417909618216
2021-12-14,15043.25,0.01082791237657352,0.17188778019847137,0.169525,0.0397,0.00015753968253968254,4.093513616122436
2021-12-15,14953.1,0.010286987036973356,0.16330085663986024,0.172175,0.0398,0.00015793650793650795,3.865710127719467
2021-12-16,14936.45,0.01000628155658519,0.1588447952833002,0.15895,0.0401,0.0001591269841269841,3.7560379995229596
2021-12-17,14673.15,0.009520020759217903,0.15112564443037732,0.163375,0.0403,0.00015992063492063492,3.5105175370576944
2021-12-20,14300.7,0.01082424160835391,0.17182950855949353,0.18965,0.0402,0.00015952380952380951,3.8901344397363573
2021-12-21,14461.4,0.013288877732974323,0.21095439410756317,0.175375,0.0408,0.00016190476190476192,4.829569448829261
2021-12-22,14639.75,0.012953510879158692,0.2056306103485413,0.1658,0.0406,0.0001611111111111111,4.7657464437966155
2021-12-23,14751.45,0.012742308161316213,0.20227787114274842,0.15825,0.0409,0.0001623015873015873,4.723811935918093
2021-12-24,14664.8,0.012218355267285286,0.19396037680483796,0.161475,0.0409,0.0001623015873015873,4.50296623079339
2021-12-27,14727.6,0.011756251811628494,0.18662471186292934,0.171175,0.0408,0.00016190476190476192,4.3512162679116955
2021-12-28,14867.85,0.011169318532117297,0.17730743490028422,0.16475,0.041,0.0001626984126984127,4.173348731521401
2021-12-29,14863.4,0.010909347485655837,0.17318052247819876,0.162425,0.0408,0.00016190476190476192,4.074992163521074
2021-12-30,14842.05,0.010342725654877023,0.16418567976823356,0.16565,0.0409,0.0001623015873015873,3.857791531357634
2021-12-31,14996.2,0.00983888358746965,0.15618743490575826,0.162225,0.0411,0.0001630952380952381,3.7079761379036427
2022-01-03,15204.6,0.009794766670109577,0.15548710055408502,0.164525,0.0409,0.0001623015873015873,3.742647966628283
2022-01-04,15318.75,0.010141148365436446,0.16098573950132405,0.1612,0.0409,0.0001623015873015873,3.9040946135646664
